Capital of Tibet,Lhasa
Arena in Atlanta,Omni
Small tavern or cafe. ,Bistro
Tender opening (wordplay),pre
Make a living there out of town,suburbia
But a distant memory,long gone
"Opponent of 8 Down and 14 Across, partner of 14 Down (wordplay)",tory
Loyalty hymns,anthems
Court meetings. ,sessions
"Work on ketches, which no man can do",servetwomasters
Quirky director Hartley,Hal
See 6,and one
"Kool & the Gang's ""Open ___""",sesame
Stupide!,bete
Messages often with exclamation points,alerts
Port of ancient Rome,ostia
North American climbing shrub,poison oak
Olympics contestant ,track star
European republic,ukraine
___ butter (skin cream),o at
Desert covering much of Botswana,Kalahari
Pen noises ,grunts
I am at Alabama port stationary,immobile
Building inspector's topic,fire code
Road rigs,semis
Diamond sock pattern.,Argyle
Favorite sons,heirs
Many sheets - enlarge hole,ream
Macys alternative,sears
Bob Mackie creation,dress
Chapeau.,cloche
Obstinate ,self willed
Corneille's princess revealed after the rodeo accident,Theodore
Soda shop selection,rootbeer float
Fitted for rowing.,oared
Canadian province with a French motto,Quebec
Mongrel enraged at first sign of some big dogs,great danes
Theater seat section,loge
Canines companion,molar
Ruthless People star,Midler
Item of luggage,suitcase
Doughboys' milieu abbreviation,AEF
Ones who can't get out,lifers
Skull Island resident,kong
Chinese weight. ,Hao
Hooked stick Fr. ,crosse
Targets of the McCarran Bill. ,reds
Hindenburg's predecessor,ebert
Prudent acrobats' provisions,nets
"Those back in town, per Thin Lizzy",boys
"Unhelpful response to ""what am I getting for Christmas?""",wait and see
Trap in a net,enmesh
Cash in Capua,Lira
Bread warmers ,toasters
Jet-black gemstone,onyx
Fiber used in body armor,kevlar
Moving targets of a sort,skeet
Biblical assent,yea
Omitted. ,left out
___ of the Worlds,war
Boss and I recently restricted in cramped accommodation (wordplay),studio flat
Ignore tabloid regularly including pair...,spurn
Trumpet cousin,cornet
'___ Home Baby' (1962 Mel Torme hit),comin
Prevent as danger,avert
Spades used on verge that is like grass,Sedge
Care to kill this like a dog (wordplay),worry
"Bird is protecting bird, half gone",ibis
Where to catch Magic and Wizards,Arenas
Like tar pits,oozy
Pest of kiddie lit,Ramona
Footwear. ,hose
Former stage star.,arliss
Metric measures. ,liters
"""We're ___ see the Wizard"" ",off to
Thumb-to-pinkie measure,span
Obsolete Mideast ruler,shah
"Meadow, in verse",lea
With the most cleaning up to do,dirtiest
Trenchant,mordant
Ascribe (something unpleasant),impute
Bishop's title of respect,right reverend
USA Today's publisher,Gannett
"He ain't heavy, he's my brother",fra
Zodiacal divider,cusp
Scruffy pair (wordplay),efs
Squares most often seen at the first of three squares,chex
An old saw that doesn't cut,a dage
"In the past, you come back over exit for actors",equity
Timer's call,onyourmarksetgo
"Beautician, at times",Dyer
Stern School grad,MBA
Adjusts with a wedge,shims
Dishes.,ware
Cheeses,bries
"Level, as a house",doze
Happening once every twelve months,yearly
Neutral state (wordplay),idle
Noble rot,botrytis
Wiseman who directed the 'Underworld' movies,Len
"Tuchman's ""The Proud ___"" ",tower
Good thing to find on a boat,sealegs
Blue day Abbreviation ,mon
His dad is Atticus Finch,JEM
Boring talker,windbag
Tremulous gleams,shimmers
ART,are indays of yore
"Lucy of ""Kill Bill""",Liu
"Finish last of all in contest, not exactly what is looked for",completion
Colleague has a complaint,a gue
Like an unfair fight,one sided
1957 film dog,Old Yeller
Presaged,port ended
Trojan War figure,nest or
Peculiar to a population,ethnical
Film about crooked politicos,the great mcginty
Cupcake topper,icer
Exercise on a stationary bike,pedal
Pact,agreement
Toddler's downtime,nap
Giant of the classical guitar,segovia
"For example, ""Whatever""",apathy
Medic who monkeys around (wordplay),drape
Natural product used to make rope,sisal hemp
An artisanal process for purifying pig iron - or of cultivating rice (wordplay),puddling
Mrs. '___ Goes to Paris,Arris
"""Red"" opening",in fra
Assembled from various sources,cut and paste
Plus a bunch of other stuff,etc
"Dickens's ""Dombey and ___"" ",son
Champ's cry,i won
France's foreign minister. ,pinay
Simple wind instrument ,Ocarina
"Solution worked out right, as new",answer
Johnny of Cooperstown,Mize
Theorem ending,proof
Lusting after,hot for
Caught,taken
Assents silently ,nods
Nodding,dozy
"Low card in a ""wheel""",ace
"Aries or Taurus, for example",sign
Instrument,organ
Glitzy gown material,lame
King who toured the U.S. in 1977,tut
"Behold, it's up the valley where one lounged",lolled
Statue with limitations,torso
Abdominal flab ,tire
Between one and three,two
Theme park entrances,turnstiles
Win back by force,retake
Found on a riverbank,riparian
Swedish port on the Baltic.,ystad
1940's spy organization,oss
Problem for a sleepy princess,pea
See SURVEY,governor
Quaint towel marking,hers
First name of Disney's Duck,Donald
"Gatekeeper, according to some",St Peter
Cleans off.,erases
'Mon Oncle' director/star,tati
Surveyor's instrument.,aligner
Hydrocarbons ,ole fines
Satirist P.J.,or ourke
Biblical gift bearer,magus
"Turned brown, say",dyed
City Detroit,motor
"Ride on a merry-go-round, maybe",unicorn
___ up (amass) ,pile
Antiknock fluids.,ethyls
Diane Arbus equipment,camera
Word with theme or parallel,Park
One of the film-making Coens,ethan
Trophy,prize
Hordes,legions
Toys for boys. ,kites
Readily. ,at the dropofahat
Twizzlers competitor,redvines
Movie based on an Isaac Bashevis Singer story,yentl
Weather stations need,radar
Berg.,floe
M.A.S.H locale,Korea
It makes whistle stops,local
Warm,tropic
Happy expressions.,smiles
Start of a set of instructions,step one
Poisonous evergreen shrubs.,oleanders
Inspector gets away from perfectionist the image of criminal,efit
Near accidents ,close calls
___ condition,human
Erstwhile ruler of 113 Across,shah
Phoenix NBA team,suns
Retaliatory response,Riposte
"Pop music's ""hottest spot north of Havana""",copa
Belgian town.,at h
"1972 play, ""6 Rms ___ Vu""",riv
Resounded.,rang
Greeting on el primero de enero,Felizano Nuevo
"Grandmothers, notably",doters
Clear the slate ,era se
Ground beef packaging word,lean
Literary invalid,tiny tim
for the Misbegotten ONeill play,a moon
While + coterie,asset
More maudlin,mushier
Animal in dire Erne,reindeer
Sea ___. ,sled
Withdraw from dependency,wean
That's ___,a more
"The ___, Genet play",maids
Award mostly established with a pot (wordplay),obese
Rodeo pony,bronc
Not David Crosby or Graham Nash,Stephen stills
One throws weight around club after drink,shot putter
"Vision problem, with 4 Down ",image
Airline overseer (Abbreviation),faa
Bus section ,rear
Whale-watching town on Vancouver Island,to fino
"Sieves, in a way",rice s
Mineral named for Penn. city ,eastonite
"Covering first, second and third base (wordplay)",in fieldgoal
Rabbis read it,Torah
"""And God Created Woman"" (1956) star",Bardot
Cerfdom in S.C.? ,Bennettsville
Once-divided city,Berlin
TeleTax organization,IRS
Wall St. degree,MBA
Ontario financial mkt.,tse
Are off at last and win,endear
'Midnight in Paris' actor,Owen Wilson
Pass over Lepontine Alps,simplon
Striped authority,ref
The actor we celebrate today,Plummer
Federal disease watchdog abbreviation,NIH
Indian chief ,pontiac
Victoria describes one drunkard,sponge
"Loose-fitting gown with a floral print, perhaps",granny dress
On your feet!,lets go
Liberal attachment,is m
The Christian Messiah,Jesus
Strong suit fabric,Serge
The Singh-ing golfer,vijay
Irkutsk river,Lena
Pays attention. ,minds
Unit rendered obsolete by computer animation,cel
Abundant,a plenty
An expert at assessing faults (wordplay),seismologist
To the Teeth singer DiFranco,an i
Bungle ,botch
Impala's cousin ,el and
Exercise in translation: our German doesn't end in French,unseen
Lessing's stories suggest Cary's witch,african
- - This A Lovely Day? (song),isnt
Word before lounger,Barca
That's O.K.,no prob
Elephant-snatching bird,ROC
Golly!,by gum
Certainly not,unsure
Best Actor winner for playing Freddie Mercury,Rami malek
Historical leader (wordplay),pre
Vented,aired out
Gave some lip,sassed
'Did ___ something?',i miss
Bee speller eg,entra
Clubs for bad lies,irons
Basketball challenge game,horse
"He's ""Great"" in kids' books",Nate
Kind of breaking ball,slider
Unfriendly,stern
"Corbin Bernsen role in ""L.A. Law"" ",arnie
V.I.P. of yore,tsar
"Some say they live among us, briefly",et s
After tea it would be no lie to pity the girl,Ruth
Accomplished with effort,Hard won
movie subtitled The King of the Beasts,simba
Without ambivalence,staunchly
Such as an accent or umlaut,diacritical mark
Interrupter's utterance,a hem
"D.W. Griffith's famed sleeper (with ""The"") (wordplay)",berthofanation
That's right!,yourenotkidding
Cue to invite topless model with great voice,give utterance to
Something memorable said in passing (wordplay),famous last words
"___ Arnaz, memorable entertainer",desi
Reception enhancer,rabbit ears
"Answer to the riddle 'Dressed in summer, naked in winter'",aree
David Nalbandian's homeland,Argentina
Worked hard,slaved
"Begone, varmint!",git
Smooth American wind,flat us
Trendy square in London,Sloane
Diminish and cease use gradually,phase out
Eco-friendly organization,green peace
"McDowall of ""Cleopatra""",roddy
Number: Fr.,numero
Breezy affect,sunniness
Mild-mannered alter ego,Clark Kent
Escape when magistrate isn't in - he has right to imprison,breakout
City north of Nancy,metz
Suit (up),to g
"Didn't wait until Christmas, say",peeked
Rush with it to change it once more,reed it
Washington band that will clumsily ruin something (wordplay),botch
Misfires,Errs
Disappearing network TV employee,censor
Arrears item,debt
"Of late, of course, of higher at end",supper
Cacao and bumbo,trees
Stand before,face
Corn units,ears
Food label unit,net carb
Force-driven one (wordplay),Jedi
Perhaps for boxing with the weight of a vehicle,Carton
"Author, pigeon",homer
Nerdy types,geeks
TED events,talks
Eww!,gross
Island shared by two states,Ellis
Head-over-heels,in love
Sympathisers disregard parish structure,system
"How silly, bent out of shape while giving a hoot perhaps",owlishly
Plumber's target,clog
Securing device,strap
Plot imperfection,hole
Insignificant detail,n it
Unusual poem about air in shops,emporia
"Bridges in ""Airplane!""",Lloyd
Order at KFC,slaw
Stassen's job.,foa
Appropriate by force,wrest
Spanish for 'weight',peso
Simple wind instruments,jugs
Mollusks,shellfish
Bent things (wordplay),rules
___ Peck or Fitzgerald,Scott
White-tailed sea bird,Erne
Spot for travelers,inn
Shrub allied to mimosa.,Acacia
Engages in haggling,bargains
"In plot of movie, for instance, one car is wrecked",scenario
The results when particularly dirty cops take up arms (wordplay),policestinks
Organization created by the 1964 Civil Rights Act,eeoc
Domestic pressing aid,ironing board
Like glazed-over eyes,glassy
They're kept in cabinets.,files
Air Ger. ,Luft
Boutonniere,flower
Bird that delivers babies (wordplay),stork
Tailless hare found in mountains,pika
Joined the mob,rioted
Muddled,garbled
Often-grilled tuna,ahi
Repairs. ,heals
"Diamonds, for example",red cards
Ellery Queen.,pen name
Picnic invaded by large seal,clinch
What dentists call tooth decay,caries
"He coined the phrase ""a law unto themselves""",tyndale
Scatters ,spreads
A Mussolini aide.,ciano
Legendary.,mythic
Bandicoot,Moler at
"Penny, English girl, to irritate",peeve
TV portrayer of Wild Bill Hickok,Guy Madison
What ___ am I!: Hamlet,an ass
Initive maker,oster
Boxing match local,Arena
Some classified listings (Abbreviation),apts
A followed by I with an addition for Greece,athenian
Loughlin and Petty,Loris
Normally ___ means non-turbo engine,aspirated
Britain's RAB. ,Butler
"White Russian, to Lenin",oppressor
Overcharges ,gouges
Were  way,on our
"Thought to have followed 3 down in short, but there's nothing new about that",used
241 sign (wordplay),Gemini
"Harmful, toxic",NOXIOUS
Supporter of GIs,USO
"Sunni, for example",sect
Brigham City site,Utah
Had a  bite,at e
They sound too young to go underground,miners
"Surfer's destination, for short",url
Citizen of Finger Lakes country. ,it hacan
"Grand, Holy, Triple, etc.",alliances
Mostly wrong as High Willhays,to r
Showy,flashy
Pierre amd Maries Nobelwinning daughter,Irene
More watchful. ,a lerter
Capital of West Germany.,Bonn
Man's aims regularly the same,as is
Raise help with a long organised line,diagonal
Banked left,deposited
"'They're from the USA, says they (9)'",statesmen
Cab or bus,public transport
Like many inscriptions,latin
"Jean Jacques - - , author of 'Confessions'",Rousseau
Brief outline,xxxxxx
Design. ,frame
Symbol of Prohibition era lawlessness,Al Capone
Where one might use pickup lines,in abar
Hints,intimates
Friend you know only through correspondence,penpal
Me ___. ,too
Supervision,care
"Realtor's database, briefly",MLS
Seems 'e always comes back to the church,ever
Acting the bigot,hating
Northern helper,Elf
"Pier Luigi ___, Italian architect and engineer (1891-1979)",Nervi
"Fifth word of ""Sgt Pepper's Lonely Hearts Club Band""",ago
Repetition of a musical theme.,reprise
Some policies,umbrellas
"Time for a marriage surge, perhaps",June
Fond of chitchat. ,gabby
That's the place for the girl to be in,there
Something to put your drink on,Bartab
Herd member,heifer
Bedtime Story star,niven
Bobby Brown's wife Etheridge,Alicia
Premeditates,plans
One's out,alibi
Cotton thread. ,Lisle
"Change, as text",emend
Breathe with audible hoarse sound - it's a joke,wheeze
CNN M.D. Sanjay,gupta
Ponder. ,meditate
Light carriage ,stanhope
Order to a helmsman,steady as shegoes
Recently pardoned boxer Johnson,Jack
Position of advantage,catbird seat
In style ,CHIC
Italian sauce style,Marsala
Soldiers attending Kent town for trial,or deal
Voila!,there you are
___ Paulo (Brazil's most populous city),sao
Love Will Keep Us Together singer Tennille,Toni
"Gum, for some (wordplay)",rhyme
With one. ,a long
Intermittently,infits and starts
Jenny ___ (diet program),craig
Horse's knocked over little relative ___ that's the general view,synopsis
Ram's school / Trojan's sch,USC
Where to find collars and stays,law
Group that's certainly not mainstream,cult
Little American.,papoose
Pilot's button,eject
Specialists in treatment of eye diseases,oculists
Huff or tizzy,snit
Disciple chosen to replace Judas Iscariot,Matthias
"Multi-purpose shot, for short",dtp
Perdue products,roasters
Carry lawman inside till now,to date
Muslim religion ,Islam
It's barely about a foot,sandal
Tic-tac-toe nine,squares
Lopsided contest,mismatch
Dupers,liars
'62 John Wayne film,Hatari
USN VIP,ADM
Olympics ideal,ten
Knickerbocker dance!,Peter Minuet
Hot dogs and hams,meats
Surprised response,gasp
Thai detective (wordplay),Siam Spade
Scornful.,sneery
Map feature.,continent
Revenant.,Phantom
Detachable spacecraft section,module
Encouragement for a toreador,Ole
Christmas fare,Mince Pies
Any undesirable locale ,Siberia
Symphony member,oboist
"Its daytime population is 29,000. ",Pentagon
Wharton degs.,mbas
Wouk's mutinous ship,caine
Shh!,DonTTalk
English historian.,bede
"Do you, by the sound of it, fall for so little cold water (wordplay)",dew drop
Absolutely!,youbetyourbippy
On the Baltic,a sea
Wooden home,Log Cabin
Chef's meas,TBSP
That must be served in words,sentence
"Search deeply, with ""into""",delve
"Fights, conflicts",battles
Comet-filled region of space,Oort Cloud
Harrods conveyance,lift
Evergreen tree of Mediterranean area.,carob
Scatters liquid,splashes
Skeletal,cadaverous
Fresh meat widely available in peace camp,Greenham Common
More cluttered,untidier
Wrap tightly. ,bind
Torme or Brooks ,Mel
1960s activist organization,sds
"""Misery"" costar James",caan
Creator of The Olive Tree: Greek myth.,Athena
Foot or potato follower ,race
Numbats,banded anteaters
Miss's proverbial equivalent ,mile
Pressure-packed period,crunch time
Humid. ,muggy
Having a limit,finite
"The world's largest..., in Wilmot, Ohio, unleashes mechanical Bavarian dancers hourly",cuckoo clock
Ravine (Spanish),baranco
Tom Tryon book with The,other
1955 Astaire musical,daddy longlegs
Threaten,menace
Gravelly ridge,esker
Thus a little tea is not what this one has too much of,sot
Leafstalk angle ,axil
Twin of Luke Skywalker,leia
Golden-fleece source,aries
About the wind that's got up when you eat too much,regale
Partner.,ally
Corn in it or on it,cob
"Desi that loves ""Lucy"" on TV. ",arnaz
Wellness center,spa
"Regular, midgrade and premium rating",octane
Thing inserted in hose near location of fire,stocking filler
Dough prepared for bread,ready
"Fusilli, e.g",pasta
Calypso's father,atlas
Angkor ___ (Cambodian site),wat
"""Optimism is the content ___ men in high places"" Fitzgerald ",of small
Company whose logo was appropriately crooked,Enron
Turks and ___ Islands,caicos
"Jets over Colts, 1969, for example",upset
Chicago sausage king Froman impersonated by Ferris Bueller,a be
Dejected ,alamort
Damaged body consumed by unstable ego? That's some parting shot!,goodbye
No-win situation (wordplay),tie game
___-haw (donkey's greeting),hee
Less common,rare
Financial institution,sal
"1- or 2-iron, once",driving iron
Voice of the sea. ,roar
"China, Japan, etc. ",east
At first glance,on sight
17-syllable Japanese verse form,haiku
Native of a German city,hamburger
Big U.S. president,taft
Sing like,a bird
Vanya,uncle
"One asking for Ahmed Adoudi, say",crank caller
Noted British Laborite.,Laski
Alternative school (wordplay),William Ormary
Highway-distance marker,milepost
'As  saying ...',i was
Prone to major mood swings,bipolar
Where the Storting convenes,Oslo
Catalog for polygamists on 'Big Love' [The AV Club xword moves to a subscription model soon! Email ,Joy Book
Deg. for Rob Petrie's neighbor,dds
Slightest,merest
Valueless writing,pap
"6-2, 3-6, 7-6, for example",sets
Alternative choice in back row,second string
BAR,polevaulter saim
Thats peachykeen,neato
Vail equipment,skis
"Cookbook subtitled ""A Guide to Having Swiss Friends Over for Dinner"" (wordplay)",fondue host
Common meadow bird,lark
Sleep disturber,nightmare
Dog in a twister,to to
See 11-Down,bells
"Oddly-sized, like clothing (abbreviation)",IRR
Positions of priority,frontburners
Item dropped on Wile E. Coyote in Road Runner cartoons,anvil
What planes provide to the infantry,air cover
"Try in game between Australia and New Zealand, say",test
Judge's statement to the jury.,charge
Insides,interiors
Adversary's weekend article,Satan
Nearly sacrificed son of Abraham,is aac
Doing doilies,tatting
Robert or Grandma,Moses
Time suggested by Prime Minister being cut short (wordplay),afternoon
Adding ad nauseam,piling on
Drats' kin,egads
Town of map makers and crossword setters taking Sun test,oswestry
Italian jet set? ,Naples planes
Place of occurrence. ,scene
One whos doomed,to ast
This way and that,to andfro
Sends,posts
Of the pre-Easter period,Lenten
Superhero in an armored suit,iron man
Echidna ,anteater
Some stories,tall
"Suffix with color names, often",is h
"Pact of April, 1949. ",NATO
Cheater's downloads,essays
Tranquility and Sargasso,seas
Cake; Scots city,Dundee
Pub vessels,kegs
"Nothing, in Cozumel",Nada
Large ratite birds. ,emus
North Atlantic rep. ,icel
Dad sat around outside - snack served,tap as
Family ___ (pedigree) ,tree
Novel first published in 1818,frankenstein
CUPID,cometsyokemate
"Swallowed by clientele, vat originally provides lift",elevator
Men bent over top of beer mug,rob
Malinger,feign pain
Sign by a pool,no food
Printing fonts,type faces
Pirates may steal it,home
A new list in connection with what might get diner going,antipasto
'Me?' response,Yeah You
Back-up contingency,plan b
Chap lacking prime bit of meat made nasty fillet,an adem
Rivers My Own Private Idaho costar,Keanu
Utica neighbor ,ilion
Rights when you've been wronged,tort law
Olympic event since 1964,judo
Secondhands.,resales
'Teach ___ to fish...',a man
"Way of saying ""by the way""",fyi
___ about (happens). ,comes
Minesweeper in a Pulitzerwinning novel,caine
Bairn's vehicle,pram
What often follows grace,dig in
More auspicious ,riper
Replacements of a sort,dentures
Early American name,boone
Inner part of a coat,lining
I am to Pedro,estoy
Part of a Steinbeck title. ,winter of
"Dad, Rex and Carol are doing grammar exercises",parsing
Finished off the cake ___ from the freezer (wordplay),iced
Member of religious group sitting in orchestra stalls,rasta
"Grabbed at celebratory toast, post-tour",stem
Noted novel of 1815,Emma
Milestone for a spooky fiction genre? (think Stoker),vampire onethousand
Sharp break,snap
___ Flags over Texas (theme park),six
Everything's always about her,drama queen
Fabled fliers,carpets
Built a pot ,anted
Underground activity in France.,sabotage
Dull piece of scenery,flat
City east of South Bend,to ledo
Make an Italian city slicker,oil verona
Emulates Mark Hopkins,teaches
Dodo relative,pigeon
Civil War letters,CSA
Chop. ,mince
Occasion to eat poi,luau
See 26-Down,an as
Elicited ,educed
Kayak eg,canoe
Formal defence of belief or conduct,apologia
Place to hang your hat,Peg
One curiously vets bail cases,ablatives
Questionable fashion label,guess
Offensive,abusive
I ___ Jeannie,dream of
Syndicated court-show judge Greg,math is
T-shirt decals,ironons
Arid expanse,sahara
Place of Stoa Poikile.,agora
Mr. from Tampicompany,senor
US defense group,sac
Sounded crowlike,cawed
Fabulous white bird.,ROC
"Nobel Literature laureate, 1993",to nimorrison
More extreme.,severer
Cliffs of Dover substance,chalk
"Revive (with ""up"").",rake
Sorry!,icant
Bird's crest,cockscomb
Some baseball statistics,errors
Arc lamp element,xenon
Satellite's top-of-the-range item to be put in position shortly,Phobos
Royalty grp,as cap
Slender woody shoots,twigs
It can be stacked,deck
"Use any office workstation, not having a permanent one",hot desk
Calligrapher's supply,rice paper
"Aesthetic, to a fault",arty
"""Hold Me"" Grammy winner",Ktoslin
"Wilshire, in a '97 film",volcano
How the elimination contest was argued about (wordplay),heatedly
Rugby score,goal
"Unbelievable, briefly, online",SMH
Very calm,serene
Good at coping,resourceful
1960's TV show set on a farm,mister ed
Roman Catholic ceremonies,masses
De Paul player's costume? ,Blue demon
Gen ___ (post-'65 arrival),xer
Boxing outcomes ,draws
Treasury dept. branch,IRS
"Language of 100,000,000.",spanish
Arrives on time for,makes
"""We burger as good as we pancake"" chain",ihop
Certain Wall Street trades,options
Nor heady-rash provoked with raging ___: Shak.,ire
Large linen collars.,rabats
Bluestockings.,Basbleus
What tourists drop,line
UK map-makers,Ordnance Survey
Environment or surroundings,ambience
Fleshy healing plant,a loe
Ultimatum,or else
Descriptive of stews,hearty
Rectangular paper container,envelope
Deeply irritating,a crid
Bit of horrible advice,bumsteer
Tobaccocuring ovens,oasts
Katharine Cornell role. ,Candida
"A, in Calais",une
Labour supporter stupid to upset 'the other half' (wordplay),midwife
Let ___ Again (Frank Sinatra song),me try
Good name for an archer (wordplay),ames
A fur would make Maria quite dotty,Nutria
Terribly damp - nice for widespread disease,pandemic
Close.,finale
Pitcher's concern,soreness
Piece of Glass,opera
Kind of geometry abbreviation (oh who am I kidding),an al
Provide with engine needing short time to get up,motorise
Biblical farmer. ,Cain
Audio equipment linking top teacher with class,headset
Sedan's quartet,cardoors
"After one in France, I get a grain that's fabulous",unicorn
Back off,relent
Tournament match,semi
"From Swansea, say (wordplay)",Welsh
Explorer who named Louisiana,lasalle
"""And ___ thou slain the Jabberwock?"" (Carroll)",hast
*Place to plug in a USB cable,computer port
"So out, it's in again",retro
"Usher song with the lyric ""If I stop then just know that I'm-a bring it back / Never quittin', don't believe in that""",more
Scene of Hamlet.,El Sinore
"1982 Berlin song (with ""The"")",metro
Colonial grievance,sugar tax
Comic sketches ,skits
In the rear of a vessel. ,a baft
Having many branches,ramose
Gossip page couple,item
What Lisa might do when at sea,sail
Result of a delta damming,closuremouth
Complaints from ankle-biters,arfs
Half-seas over ,tipsy
One end for the Suez canal,red sea
Female pheasants,rees
Old Fox rival,UPN
Assisted living facility,care home
Firm backed gambling site with a final twist in time,occasion
Minnesota home to the Nickelodeon Universe theme park,Mallof America
Kind of filling,pie
Cybercafe amenity,wifi
Cloud Shepherd sculptor Jean,arp
Young dog one left for schoolchild,pupil
"Took too much, of course - nine, by the sound of it, at least",over ate
Where to raise truck. ,farm
Poem about war. ,i liad
Famous rumor ,theskyisfalling
Song like 'Ode to My Swiss Army Knife' (wordplay),gadget ballad
Marines' Hymn port,tripoli
James___ ( Titanic producer),cameron
___ meet a body . . . ,ifa
Prized mounts,arabs
"Tax pro, briefly",cpa
S.A. simian ,titi
Sculptor Jacopo ___,Tatti
Asexual: Comb. form,a gam
E. Indian palm ,nipa
1983 film about a brother and sister's journey from Guatemala to Los Angeles,El Norte
Projecting part,prong
There's no battery for this,free range
Old Testament cookie maker (wordplay),famous amos
Recovered ,regained
Hit hard Slang. ,wham
Pool supplies,acids
Leave 'em in the aisles,slay
Minister making some civic arrangements,Vicar
There is in this more than enough to make one sheepish,merino
"Chip off the old block, often",son
"Fingernail chewing, for one",habit
Big 12 or Pac-12 organization,NCAA
Auto pioneer Ransom ___,olds
"Passing test, ran in to get drunk!",transient
"Tablets site, in Exodus",Sinai
It can't take wing,rhea
"___ Harker (""Dracula"" heroine)",Mina
Start of a pun ideal for April 15th,use your powers of
Nuthin' but a 'G' ___ (Dr. Dre hit),than g
Land of the Riffs,Morocco
Summer camp building,lodge
Help wanted sign (wordplay),sos
"Creator of the 1966 conceptual artwork ""Apple""",ono
"With arms around the East, to a great extent",huge
Operatic vocal effect,trill
"For example, force copper coppers into small holders",egg cups
Using Norse letters,runic
Tie up,engage
Safe at first ,on base
Division of the year,season
"Sixteenth U.S. president, familiarly",a be
The sort of ally you could get on the side,later
She's a newlywed,bride
Moved like a chipmunk,darted
___ mess,in a
"Abel, discoverer of New Zealand",tasman
"Hit song in 1951, with ""The"" ",syncopated clock
Biblical first lady,Eve
Rolled to a runway,taxied
Also called the love apple,tomato
Chem test paper (wordplay),litmus
Exchanged smacks,kissed
"Johnny Lee's ""The Yellow Rose"" partner Brody",lane
Lincoln wore one,Beard
Brief rests,pauses
Expert on figures Abbreviation ,cpa
Teach ___ Fly (2009 single for Wiz Khalifa),u to
"Film that originated the term ""costume epic"" (wordplay)",Quo Bodice
Dejected host's lament,theyregoinghome
Type of wolf ,lone
Cheaply made,flimsy
"Reckon to make a hundred ___ getting on edge, right (wordplay)",consider
Single exercise,rep
Tops off the cake,ices
Bedding for the young,litter
Meditates over,pores
"Studies, maybe",dens
Territory-expanding ploys,landgrabs
Kind of pie,pecan
Well mannered,genteel
Trim-figured,slender
South American bird. ,mitu
To-do list items,duties
German rifles. ,mausers
"Framed, in a way",setup
Compass pt.,NNE
Brand endorsed by Jennifer Aniston,a bet
A deacon dons it,vestment
Disreputable Colloq. ,shady
Herbaceous plant.,irid
"""Delightful"" in hippie jargon ",Groovy
Country with a canal,Panama
Deltas,rivermouths
Certain bridge bid,two no
Miss the boat,be late
bad moon rising,is eea
Receiver of goods ,bailee
"Feel less angry, so to speak",thaw
Start this Nintendo game again button,reset
Popular snack,nachos
"'Game, ___, match!'",set
"Music, dance, etc",arts
Medium for Tae Bo lessons,VHS
Some great American singers (wordplay),idols
Possessing scruples.,Ethical
E-tail site for handicrafts,etsy
"Peter Pan, for instance.",role
More than fifty will get access to area code,religion
Sets. ,congeals
In great number ,galore
Packing heat (wordplay),dressed to kill
Feature ,item
Rests during a tournament,by es
"Jurassic Park terror, briefly",trex
Prefix with retirement,semi
Treatises by Plotinus.,enneads
Hero sandwich,grinder
Letters from London,zeds
Capital of the Cayman Islands,Georgetown
Sitcom burster through doors,Kramer
Sizes up,reads
Cajun cooking style,Creole
Golf-hole area,tee
School near Greece reported damage,soil
Lounge entertainers,bands
Surfers need,modem
Tangle,snafu
"Something the matter with this for a month, I see",septic
Win the confidence (of),disarm
Maupassant's first novel,unevie
Jaunty. ,de bonair
Football great Marchetti,gino
Chain I left among red coral at sea,Cordillera
Kronor owner,Swede
Is suitable (for),does
Prize: Scot.,gree
Told a little white lie,fibbed
Baby follower at the mall,gap
Ram's lady,ewe
Capitol runners,pages
"Backing vocalists that sang with Tina Turner before having hits of their own, with ""the""",ikettes
Limpid. ,clear
Moslem mendicants,fakirs
Airport stoppage detains holy woman,stansted
"Unlikely to be removed from office, having settled rent due",tenured
Mace,staff
Lynx or cougar,cat
'The Journey of Natty ___' ('85 film),Gann
Jaded state,ennui
Girl seen in Capri lately,April
Plant used to sweeten retro tomato sauces ___ mash soundly,sugar beet
"Stays down, as a spinning yo-yo",sleeps
The Quechua eg,in cas
Glides lightly.,skims
Gomer Pyle's rank abbreviation,pfc
Cause suffering to,afflict
Shown to one's seat,seen in
Russian city in Black Earth area.,Orel
Web giant,aol
'Blue Bloods' org,NYPD
Ransom's middle name,ELI
It's sometimes added to table salt,potassiumiodate
Sister Carrie novelist,theodoredreiser
s daytime talk show,Leeza
Having lived 92 years,old
Fuse metals,solder
Study in detail,analyse
They might be practical,jokers
Many a techie,geek
Couturier's work,design
Bastions.,defenses
Rollo's men ,norse
Berra of the Yankees. ,yogi
Poppaea's husband ,nero
Some versatile materials,polyesters
Keep in a can,jail
They may be laid on thick,oleos
Road: Lat.,iter
"Jose's ""How?""",como
Beagle drawn by Jim Davis,Odie
Kind of pudding. ,hasty
11-Down skill,cpr
A fine old violin.,Cremona
Produce Edward surrendered,yielded
Postwar progeny,Baby Boomer
Drive into the open.,smoke out
H.S. prom attendees,srs
Long Island Medium medium Caputo,there sa
Norse goddess. ,saga
Deprived of a right,disenfranchised
I Want to Be Happy musical,nononanette
Herb's relative.,Bert
